,DateCode,Number,Cause,Location,Name
126,2020-01-20,103,All,All,Ayrshire and Arran
138,2020-01-27,96,All,All,Ayrshire and Arran
143,2020-03-09,109,All,All,Ayrshire and Arran
149,2020-03-16,101,All,All,Ayrshire and Arran
169,2020-02-10,76,All,All,Ayrshire and Arran
174,2020-01-13,114,All,All,Ayrshire and Arran
195,2020-02-17,105,All,All,Ayrshire and Arran
208,2020-03-02,105,All,All,Ayrshire and Arran
229,2020-03-23,108,All,All,Ayrshire and Arran
237,2020-02-24,99,All,All,Ayrshire and Arran
359,2020-05-04,100,All,All,Ayrshire and Arran
486,2020-05-11,120,All,All,Ayrshire and Arran
695,2020-01-06,121,All,All,Ayrshire and Arran
741,2019-12-30,105,All,All,Ayrshire and Arran
773,2020-04-06,131,All,All,Ayrshire and Arran
782,2020-04-13,158,All,All,Ayrshire and Arran
812,2020-02-03,88,All,All,Ayrshire and Arran
945,2020-03-30,121,All,All,Ayrshire and Arran
984,2020-04-20,139,All,All,Ayrshire and Arran
1724,2020-04-27,122,All,All,Ayrshire and Arran
2043,2020-05-11,21,COVID-19 related,All,Ayrshire and Arran
2160,2020-04-13,51,COVID-19 related,All,Ayrshire and Arran
2224,2020-05-04,28,COVID-19 related,All,Ayrshire and Arran
2300,2020-04-20,39,COVID-19 related,All,Ayrshire and Arran
2332,2020-04-27,35,COVID-19 related,All,Ayrshire and Arran
2357,2020-03-23,9,COVID-19 related,All,Ayrshire and Arran
2533,2020-03-16,1,COVID-19 related,All,Ayrshire and Arran
2600,2020-04-06,40,COVID-19 related,All,Ayrshire and Arran
2613,2020-03-30,17,COVID-19 related,All,Ayrshire and Arran
