,DateCode,Number,Cause,Location,Name
2,2020-04-27,27.0,All,All,Borders
21,2020-03-16,36.0,All,All,Borders
27,2020-03-02,32.0,All,All,Borders
36,2020-02-24,35.0,All,All,Borders
49,2020-03-23,23.0,All,All,Borders
172,2020-03-09,29.0,All,All,Borders
386,2020-05-04,24.0,All,All,Borders
468,2020-02-10,25.0,All,All,Borders
486,2019-12-30,20.0,All,All,Borders
506,2020-02-17,23.0,All,All,Borders
536,2020-02-03,24.0,All,All,Borders
541,2020-01-27,27.0,All,All,Borders
610,2020-01-20,29.0,All,All,Borders
638,2020-04-20,30.0,All,All,Borders
733,2020-01-13,38.0,All,All,Borders
782,2020-03-30,42.0,All,All,Borders
805,2020-04-06,37.0,All,All,Borders
815,2020-01-06,41.0,All,All,Borders
825,2020-04-13,31.0,All,All,Borders
1843,2020-04-27,4.0,COVID-19 related,All,Borders
1923,2020-04-20,3.0,COVID-19 related,All,Borders
1958,2020-05-04,3.0,COVID-19 related,All,Borders
2186,2020-03-16,0.0,COVID-19 related,All,Borders
2262,2020-03-23,3.0,COVID-19 related,All,Borders
2310,2020-04-06,15.0,COVID-19 related,All,Borders
2337,2020-03-30,13.0,COVID-19 related,All,Borders
2425,2020-04-13,7.0,COVID-19 related,All,Borders
