,DateCode,Number,Cause,Location,Name
5,2020-03-09,204.0,All,All,Greater Glasgow and Clyde
8,2020-03-23,167.0,All,All,Greater Glasgow and Clyde
29,2020-02-24,255.0,All,All,Greater Glasgow and Clyde
42,2020-03-16,264.0,All,All,Greater Glasgow and Clyde
355,2020-05-04,343.0,All,All,Greater Glasgow and Clyde
389,2020-04-27,410.0,All,All,Greater Glasgow and Clyde
435,2020-01-20,235.0,All,All,Greater Glasgow and Clyde
440,2020-01-13,296.0,All,All,Greater Glasgow and Clyde
495,2020-02-10,243.0,All,All,Greater Glasgow and Clyde
511,2020-02-03,245.0,All,All,Greater Glasgow and Clyde
514,2020-02-17,238.0,All,All,Greater Glasgow and Clyde
606,2020-01-27,264.0,All,All,Greater Glasgow and Clyde
670,2020-03-30,479.0,All,All,Greater Glasgow and Clyde
681,2020-03-02,283.0,All,All,Greater Glasgow and Clyde
707,2020-04-13,482.0,All,All,Greater Glasgow and Clyde
725,2020-04-20,518.0,All,All,Greater Glasgow and Clyde
771,2020-01-06,353.0,All,All,Greater Glasgow and Clyde
806,2020-04-06,499.0,All,All,Greater Glasgow and Clyde
818,2019-12-30,250.0,All,All,Greater Glasgow and Clyde
1817,2020-04-27,169.0,COVID-19 related,All,Greater Glasgow and Clyde
1924,2020-04-20,230.0,COVID-19 related,All,Greater Glasgow and Clyde
1968,2020-05-04,126.0,COVID-19 related,All,Greater Glasgow and Clyde
2178,2020-03-16,3.0,COVID-19 related,All,Greater Glasgow and Clyde
2290,2020-03-23,13.0,COVID-19 related,All,Greater Glasgow and Clyde
2314,2020-04-06,193.0,COVID-19 related,All,Greater Glasgow and Clyde
2328,2020-03-30,107.0,COVID-19 related,All,Greater Glasgow and Clyde
2357,2020-04-13,197.0,COVID-19 related,All,Greater Glasgow and Clyde
