,DateCode,Number,Cause,Location,Name
119,2020-03-23,137,All,All,Lanarkshire
127,2020-04-06,274,All,All,Lanarkshire
136,2020-03-30,231,All,All,Lanarkshire
182,2020-04-27,207,All,All,Lanarkshire
262,2020-05-11,168,All,All,Lanarkshire
370,2020-05-25,142,All,All,Lanarkshire
373,2020-05-18,151,All,All,Lanarkshire
768,2020-03-09,142,All,All,Lanarkshire
813,2020-03-02,151,All,All,Lanarkshire
823,2020-03-16,138,All,All,Lanarkshire
861,2020-04-20,238,All,All,Lanarkshire
862,2020-04-13,272,All,All,Lanarkshire
901,2020-05-04,207,All,All,Lanarkshire
943,2020-02-03,169,All,All,Lanarkshire
952,2020-01-27,151,All,All,Lanarkshire
1014,2020-02-17,144,All,All,Lanarkshire
1033,2020-01-20,161,All,All,Lanarkshire
1260,2019-12-30,138,All,All,Lanarkshire
1283,2020-01-06,194,All,All,Lanarkshire
1287,2020-01-13,165,All,All,Lanarkshire
1312,2020-02-10,155,All,All,Lanarkshire
1340,2020-02-24,136,All,All,Lanarkshire
2115,2020-05-18,30,COVID-19 related,All,Lanarkshire
2183,2020-04-20,83,COVID-19 related,All,Lanarkshire
2292,2020-05-25,22,COVID-19 related,All,Lanarkshire
2549,2020-04-13,90,COVID-19 related,All,Lanarkshire
2581,2020-03-16,0,COVID-19 related,All,Lanarkshire
2646,2020-03-30,40,COVID-19 related,All,Lanarkshire
2678,2020-03-23,8,COVID-19 related,All,Lanarkshire
2727,2020-04-06,90,COVID-19 related,All,Lanarkshire
2759,2020-04-27,74,COVID-19 related,All,Lanarkshire
2806,2020-05-04,51,COVID-19 related,All,Lanarkshire
2923,2020-05-11,46,COVID-19 related,All,Lanarkshire
