,DateCode,Number,Cause,Location,Name
652,2020-01-20,165,All,All,Lothian
662,2020-01-27,154,All,All,Lothian
683,2020-02-03,191,All,All,Lothian
696,2020-02-17,152,All,All,Lothian
762,2020-01-06,196,All,All,Lothian
818,2019-12-30,166,All,All,Lothian
830,2020-02-10,171,All,All,Lothian
843,2020-01-13,155,All,All,Lothian
1233,2020-04-13,271,All,All,Lothian
1234,2020-03-30,228,All,All,Lothian
1280,2020-04-20,255,All,All,Lothian
1332,2020-03-23,144,All,All,Lothian
1345,2020-04-06,313,All,All,Lothian
1357,2020-03-09,182,All,All,Lothian
1365,2020-03-02,166,All,All,Lothian
1448,2020-03-16,169,All,All,Lothian
1453,2020-02-24,171,All,All,Lothian
1838,2020-04-13,109,COVID-19 related,All,Lothian
1918,2020-04-20,112,COVID-19 related,All,Lothian
2001,2020-04-06,108,COVID-19 related,All,Lothian
2122,2020-03-16,2,COVID-19 related,All,Lothian
2158,2020-03-23,7,COVID-19 related,All,Lothian
2175,2020-03-30,32,COVID-19 related,All,Lothian
