DateCode,All,COVID-19_related,Five_Year_Avg,gap
2019-12-30,1161.0,0.0,1276.0,-115.0
2020-01-06,1567.0,0.0,1560.0,7.0
2020-01-13,1322.0,0.0,1382.0,-60.0
2020-01-20,1226.0,0.0,1317.0,-91.0
2020-01-27,1188.0,0.0,1280.0,-92.0
2020-02-03,1216.0,0.0,1254.0,-38.0
2020-02-10,1162.0,0.0,1259.0,-97.0
2020-02-17,1162.0,0.0,1247.0,-85.0
2020-02-24,1171.0,0.0,1165.0,6.0
2020-03-02,1208.0,0.0,1229.0,-21.0
2020-03-09,1186.0,0.0,1169.0,17.0
2020-03-16,1196.0,10.0,1120.0,76.0
2020-03-23,1079.0,62.0,1118.0,-39.0
2020-03-30,1744.0,282.0,1098.0,646.0
2020-04-06,1978.0,610.0,1100.0,878.0
2020-04-13,1916.0,650.0,1067.0,849.0
2020-04-20,1836.0,659.0,1087.0,749.0
2020-04-27,1679.0,526.0,1079.0,600.0
2020-05-04,1435.0,415.0,1034.0,401.0
2020-05-11,1421.0,336.0,1064.0,357.0
2020-05-18,1226.0,230.0,1045.0,181.0
2020-05-25,1125.0,131.0,1017.0,108.0
