,DateCode,Number,Cause
1640,2020-06-08,1032,All causes
1641,2020-06-01,1093,All causes
1643,2019-12-30,1161,All causes
1646,2020-05-25,1017,Five Year Avg
1648,2020-06-01,89,COVID-19 related
1649,2020-05-25,1128,All causes
1651,2020-04-06,1978,All causes
1657,2020-06-08,70,COVID-19 related
1661,2020-03-02,1208,All causes
1662,2020-02-24,1171,All causes
1699,2020-05-04,1435,All causes
1700,2020-05-11,1421,All causes
1701,2020-02-03,1216,All causes
1702,2020-06-08,1000,Five Year Avg
1703,2020-01-27,1188,All causes
1706,2020-04-13,650,COVID-19 related
1719,2020-01-13,1322,All causes
1721,2020-05-11,1064,Five Year Avg
1722,2020-04-20,1087,Five Year Avg
1723,2020-01-20,1226,All causes
1724,2020-03-30,1744,All causes
1726,2020-05-11,336,COVID-19 related
1728,2020-04-06,610,COVID-19 related
1729,2020-05-04,1034,Five Year Avg
1730,2020-03-30,282,COVID-19 related
1731,2020-03-16,10,COVID-19 related
1733,2020-05-18,1226,All causes
1734,2020-05-04,415,COVID-19 related
1735,2020-03-23,62,COVID-19 related
1737,2020-03-16,1196,All causes
1741,2020-04-20,659,COVID-19 related
1925,2019-12-30,1276,Five Year Avg
1927,2020-03-02,1229,Five Year Avg
1928,2020-02-17,1247,Five Year Avg
1935,2020-02-24,1165,Five Year Avg
1936,2020-03-23,1118,Five Year Avg
1938,2020-02-10,1259,Five Year Avg
1941,2020-01-27,1280,Five Year Avg
1942,2020-03-09,1169,Five Year Avg
1943,2020-01-06,1560,Five Year Avg
1949,2020-02-10,1162,All causes
1950,2020-02-17,1162,All causes
1955,2020-05-18,230,COVID-19 related
1958,2020-05-25,131,COVID-19 related
1959,2020-04-13,1067,Five Year Avg
1981,2020-04-27,526,COVID-19 related
1982,2020-03-30,1098,Five Year Avg
1983,2020-04-06,1100,Five Year Avg
1985,2020-03-16,1120,Five Year Avg
1986,2020-04-13,1916,All causes
1988,2020-05-18,1045,Five Year Avg
1992,2020-04-27,1079,Five Year Avg
1995,2020-04-20,1836,All causes
1996,2020-06-01,1056,Five Year Avg
1997,2020-04-27,1679,All causes
2002,2020-02-03,1254,Five Year Avg
2003,2020-01-20,1317,Five Year Avg
2012,2020-03-23,1079,All causes
2018,2020-01-13,1382,Five Year Avg
2022,2020-03-09,1198,All causes
2039,2020-01-06,1567,All causes
