Council,Deaths to date
Aberdeen City,48
Aberdeenshire,75
Angus,42
Argyll and Bute,42
City of Edinburgh,217
Clackmannanshire,15
Dumfries and Galloway,34
Dundee City,85
East Ayrshire,41
East Dunbartonshire,46
East Lothian,59
East Renfrewshire,48
Falkirk,70
Fife,118
Glasgow City,368
Highland,30
Inverclyde,93
Midlothian,48
Moray,6
Na h-Eileanan Siar,0
North Ayrshire,55
North Lanarkshire,158
Orkney Islands,2
Perth and Kinross,38
Renfrewshire,116
Scottish Borders,41
Shetland Islands,6
South Ayrshire,63
South Lanarkshire,153
Stirling,39
West Dunbartonshire,70
West Lothian,46
